trial,fold,run_name,map50,map50_95,precision,recall,fitness
13,0,train_folds_0_1_valid_folds_2,0.6661812862179485,0.39318685132090025,0.7560562197450618,0.5666280417149478,0.39318685132090025
13,1,train_folds_0_2_valid_folds_1,0.620750236479463,0.3649620542224002,0.721359700555918,0.5527747551686616,0.3649620542224002
13,2,train_folds_1_2_valid_folds_0,0.6362491820315095,0.37486322206504286,0.7196189456407569,0.5825136612021858,0.37486322206504286
14,0,train_folds_0_1_valid_folds_2,0.6695890496082005,0.38576987378212113,0.7189899089518421,0.6176129779837776,0.38576987378212113
14,1,train_folds_0_2_valid_folds_1,0.625995597254611,0.36181352910305636,0.7409613024187528,0.5509204525526615,0.36181352910305636
14,2,train_folds_1_2_valid_folds_0,0.6491434710634245,0.36693187304027236,0.7379113529435471,0.5420765027322404,0.36693187304027236
15,0,train_folds_0_1_valid_folds_2,0.6634250923674971,0.3920653188156126,0.6750740123439896,0.6163057611493301,0.3920653188156126
15,1,train_folds_0_2_valid_folds_1,0.6154467227869929,0.36178964098919575,0.7734968942231045,0.5048966267682263,0.36178964098919575
15,2,train_folds_1_2_valid_folds_0,0.6203733930890957,0.3685575087255112,0.7404291855113149,0.5268577530872612,0.3685575087255112
16,0,train_folds_0_1_valid_folds_2,0.6837209585098172,0.390449251023256,0.7606653134163137,0.5892471266167674,0.390449251023256
16,1,train_folds_0_2_valid_folds_1,0.6281144490902874,0.3711032645058963,0.6912833992773967,0.5538628944504896,0.3711032645058963
16,2,train_folds_1_2_valid_folds_0,0.62501265305639,0.3636070007122422,0.6963628948827866,0.5840040404703428,0.3636070007122422
17,0,train_folds_0_1_valid_folds_2,0.6893323196024912,0.4028050067787444,0.7841676651563657,0.589803012746234,0.4028050067787444
17,1,train_folds_0_2_valid_folds_1,0.618374616116509,0.35660283347417365,0.6777183658869047,0.5473340587595212,0.35660283347417365
17,2,train_folds_1_2_valid_folds_0,0.6275119614950517,0.3722103474922054,0.7239953525414519,0.5573770491803278,0.3722103474922054
18,0,train_folds_0_1_valid_folds_2,0.67334702777899,0.3887133172198514,0.7344880750994288,0.5840092699884125,0.3887133172198514
18,1,train_folds_0_2_valid_folds_1,0.606502005050255,0.35183062071777665,0.7183861313490943,0.5277475516866159,0.35183062071777665
18,2,train_folds_1_2_valid_folds_0,0.6266193165467564,0.3626378023410227,0.7214458166648139,0.5486338797814208,0.3626378023410227
19,0,train_folds_0_1_valid_folds_2,0.6714751511794068,0.40243744187772174,0.7777513472769599,0.5798654141643713,0.40243744187772174
19,1,train_folds_0_2_valid_folds_1,0.6221594878194847,0.36266748405881316,0.7267608081164995,0.5386289445048966,0.36266748405881316
19,2,train_folds_1_2_valid_folds_0,0.6492882859010005,0.3815172577515363,0.7443401561407045,0.5595628415300546,0.3815172577515363
20,0,train_folds_0_1_valid_folds_2,0.6906891524814118,0.4073460498454991,0.7396612082666473,0.5925922446200546,0.4073460498454991
20,1,train_folds_0_2_valid_folds_1,0.6200196511090321,0.3653347719233869,0.739395339139387,0.5321001088139282,0.3653347719233869
20,2,train_folds_1_2_valid_folds_0,0.6293316444628714,0.384728272393158,0.7272842677368576,0.566120218579235,0.384728272393158
21,0,train_folds_0_1_valid_folds_2,0.6977190504754491,0.40646323783051114,0.7300589717397826,0.5990730011587485,0.40646323783051114
21,1,train_folds_0_2_valid_folds_1,0.606277918175799,0.36512359765745384,0.6619456096777145,0.5386289445048966,0.36512359765745384
21,2,train_folds_1_2_valid_folds_0,0.6624511159812253,0.396097497509902,0.690838298273189,0.5901639344262295,0.396097497509902
22,0,train_folds_0_1_valid_folds_2,0.6997352241174977,0.4055163605184361,0.7586435934220135,0.608342989571263,0.4055163605184361
22,1,train_folds_0_2_valid_folds_1,0.6200846373728688,0.36844277747431964,0.6979590664165133,0.5353645266594124,0.36844277747431964
